nome_produto,sku,quantidade,quantidade_minima,preco,preco_revenda,foto,categoria
Ativador de Cachos 3em1 Whey Protein e Biotina 1Kg,,0,5,,,, Ativador
Ativador de Cachos Abacate 1L,,0,5,,,,Ativador
Ativador de Cachos Açai 1L,,0,5,,,,Ativador
Ativador de Cachos Argan Teen 1L,,0,5,,,,Ativador
Ativador de Cachos Babosa e Tutano 1L,,0,5,,,,Ativador
Ativador de Cachos Banana e Mel 1L,,0,5,,,,Ativador
Ativador de Cachos Café Verde 1L,,0,5,,,,Ativador
Ativador de Cachos Coco 1Kg,,0,5,,,,Ativador
Ativador de Cachos Feno Grego 1Kg,,0,5,,,,Ativador
Ativador de Cachos Force Nature 500ml,,0,5,,,,Ativador
Ativador de Cachos Gelatina 1L,,0,5,,,,Ativador
Ativador de Cachos Goji Berry 1L,,0,5,,,,Ativador
Ativador de Cachos Karitê 1L,,0,5,,,,Ativador
Ativador de Cachos Love Word 1L,,0,5,,,,Ativador
Ativador de Cachos Macadâmia 1L,,0,5,,,,Ativador
Ativador de Cachos Mandioca e Quiabo 1Kg,,0,5,,,,Ativador
Ativador de Cachos Mix de Óleos 1L,,0,5,,,,Ativador
Ativador de Cachos Morango & Abacate 1Kg,,0,5,,,,Ativador
Ativador de Cachos Murumuru e Linhaça 1L,,0,5,,,,Ativador
Ativador de Cachos Óleo de Girassol 1Kg,,0,5,,,,Ativador
Gelatina Modeladora Mix Frutas Vermelhas 500ml,,0,5,,,,Finalizador
Kit Abacate c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Açaí c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Afro dos Sonhos c/ Ativador + Shampoo + Máscara + Gelatina Mod.,,0,5,,,,Kits
Kit Argan Teen c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Babosa e Tutano c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Café Verde c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Force Nature c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Gelatina c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Goji Berry c/ Ativador + Shampoo + Máscara Teia,,0,5,,,,Kits
Kit Hidroxido de Cálcio,,0,5,,,,Kits
Kit Karitê c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Love Word c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Macadâmia c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Mandioca e Quiabo c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Mix de Óleos c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Morango c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Murumuru e Linhaça c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Kit Óleo de Coco c/ Ativador + Shampoo + Máscara 2em1,,0,5,,,,Kits
Máscara 2em1 Abacate 500g,,0,5,,,,Máscara
Máscara 2em1 Açai 500g,,0,5,,,,Máscara
Máscara 2em1 Babosa e Tutano 500g,,0,5,,,,Máscara
Máscara 2em1 Café Verde 500g,,0,5,,,,Máscara
Máscara 2em1 Coco 500g,,0,5,,,,Máscara
Máscara 2em1 Force Nature 500ml,,0,5,,,,Máscara
Máscara 2em1 Gelatina 500g,,0,5,,,,Máscara
Máscara 2em1 Goji Berry 500g,,0,5,,,,Máscara
Máscara 2em1 Karitê 500g,,0,5,,,,Máscara
Máscara 2em1 Love Word 500g,,0,5,,,,Máscara
Máscara 2em1 Macadâmia 500g,,0,5,,,,Máscara
Máscara 2em1 Mandioca e Quiabo 500g,,0,5,,,,Máscara
Máscara 2em1 Mix de Óleos 500g,,0,5,,,,Máscara
Máscara 2em1 Morango 500g,,0,5,,,,Máscara
Máscara 2em1 Murumuru e Linhaça 500g,,0,5,,,,Máscara
Máscara 2em1 Teen Argan Oil 500g,,0,5,,,,Máscara
Óleo de Argan 65ml,,0,5,,,,Finalizador
Óleo de Coco 65ml,,0,5,,,,Finalizador
Óleo de Rícino 65ml,,0,5,,,,Finalizador
Queratina Líquida 120ml,,0,5,,,,Finalizador
Sérum Reparador 120ml,,0,5,,,,Finalizador
Shampoo Abacate 500ml,,0,5,,,,Shampoo
Shampoo Açai 500ml,,0,5,,,,Shampoo
Shampoo Argan Teen 500ml,,0,5,,,,Shampoo
Shampoo Babosa e Tutano 500ml,,0,5,,,,Shampoo
Shampoo Coco 500ml,,0,5,,,,Shampoo
Shampoo Gelatina 500ml,,0,5,,,,Shampoo
Shampoo Goji Berry 500ml,,0,5,,,,Shampoo
Shampoo Karitê 500ml,,0,5,,,,Shampoo
Shampoo Love Word 500ml,,0,5,,,,Shampoo
Shampoo Macadâmia 500ml,,0,5,,,,Shampoo
Shampoo Mandioca e Quiabo 500ml,,0,5,,,,Shampoo
Shampoo Mix de Óleos 500ml,,0,5,,,,Shampoo
Shampoo Morango 500ml,,0,5,,,,Shampoo
Shampoo Murumuru e Linhaça 500ml,,0,5,,,,Shampoo
Shampooo Café Verde 500ml,,0,5,,,,Shampoo
Shampooo Force Nature 500ml,,0,5,,,,Shampoo
Spray Day After 200ml,,0,5,,,,Finalizador
Tonalizante Brilho Intenso Sem Amônia Dicolore Concept - 60g + OX 10 Vol. 120ml,,0,5,,,,Tonalizante
Tônico Capilar NoGray 60ml,,0,5,,,,Finalizador
Touca de Cetim,,0,5,,,,Finalizador
